week_start,week_no,year,week
2005-01-03,1,2005,2005-01
2005-01-10,2,2005,2005-02
2005-01-17,3,2005,2005-03
2005-01-24,4,2005,2005-04
2005-01-31,5,2005,2005-05
2005-02-07,6,2005,2005-06
2005-02-14,7,2005,2005-07
2005-02-21,8,2005,2005-08
2005-02-28,9,2005,2005-09
2005-03-07,10,2005,2005-10
2005-03-14,11,2005,2005-11
2005-03-21,12,2005,2005-12
2005-03-28,13,2005,2005-13
2005-04-04,14,2005,2005-14
2005-04-11,15,2005,2005-15
2005-04-18,16,2005,2005-16
2005-04-25,17,2005,2005-17
2005-05-02,18,2005,2005-18
2005-05-09,19,2005,2005-19
2005-05-16,20,2005,2005-20
2005-05-23,21,2005,2005-21
2005-05-30,22,2005,2005-22
2005-06-06,23,2005,2005-23
2005-06-13,24,2005,2005-24
2005-06-20,25,2005,2005-25
2005-06-27,26,2005,2005-26
2005-07-04,27,2005,2005-27
2005-07-11,28,2005,2005-28
2005-07-18,29,2005,2005-29
2005-07-25,30,2005,2005-30
2005-08-01,31,2005,2005-31
2005-08-08,32,2005,2005-32
2005-08-15,33,2005,2005-33
2005-08-22,34,2005,2005-34
2005-08-29,35,2005,2005-35
2005-09-05,36,2005,2005-36
2005-09-12,37,2005,2005-37
2005-09-19,38,2005,2005-38
2005-09-26,39,2005,2005-39
2005-10-03,40,2005,2005-40
2005-10-10,41,2005,2005-41
2005-10-17,42,2005,2005-42
2005-10-24,43,2005,2005-43
2005-10-31,44,2005,2005-44
2005-11-07,45,2005,2005-45
2005-11-14,46,2005,2005-46
2005-11-21,47,2005,2005-47
2005-11-28,48,2005,2005-48
2005-12-05,49,2005,2005-49
2005-12-12,50,2005,2005-50
2005-12-19,51,2005,2005-51
2005-12-26,52,2005,2005-52
2006-01-02,1,2006,2006-01
2006-01-09,2,2006,2006-02
2006-01-16,3,2006,2006-03
2006-01-23,4,2006,2006-04
2006-01-30,5,2006,2006-05
2006-02-06,6,2006,2006-06
2006-02-13,7,2006,2006-07
2006-02-20,8,2006,2006-08
2006-02-27,9,2006,2006-09
2006-03-06,10,2006,2006-10
2006-03-13,11,2006,2006-11
2006-03-20,12,2006,2006-12
2006-03-27,13,2006,2006-13
2006-04-03,14,2006,2006-14
2006-04-10,15,2006,2006-15
2006-04-17,16,2006,2006-16
2006-04-24,17,2006,2006-17
2006-05-01,18,2006,2006-18
2006-05-08,19,2006,2006-19
2006-05-15,20,2006,2006-20
2006-05-22,21,2006,2006-21
2006-05-29,22,2006,2006-22
2006-06-05,23,2006,2006-23
2006-06-12,24,2006,2006-24
2006-06-19,25,2006,2006-25
2006-06-26,26,2006,2006-26
2006-07-03,27,2006,2006-27
2006-07-10,28,2006,2006-28
2006-07-17,29,2006,2006-29
2006-07-24,30,2006,2006-30
2006-07-31,31,2006,2006-31
2006-08-07,32,2006,2006-32
2006-08-14,33,2006,2006-33
2006-08-21,34,2006,2006-34
2006-08-28,35,2006,2006-35
2006-09-04,36,2006,2006-36
2006-09-11,37,2006,2006-37
2006-09-18,38,2006,2006-38
2006-09-25,39,2006,2006-39
2006-10-02,40,2006,2006-40
2006-10-09,41,2006,2006-41
2006-10-16,42,2006,2006-42
2006-10-23,43,2006,2006-43
2006-10-30,44,2006,2006-44
2006-11-06,45,2006,2006-45
2006-11-13,46,2006,2006-46
2006-11-20,47,2006,2006-47
2006-11-27,48,2006,2006-48
2006-12-04,49,2006,2006-49
2006-12-11,50,2006,2006-50
2006-12-18,51,2006,2006-51
2006-12-25,52,2006,2006-52
2007-01-01,1,2007,2007-01
2007-01-08,2,2007,2007-02
2007-01-15,3,2007,2007-03
2007-01-22,4,2007,2007-04
2007-01-29,5,2007,2007-05
2007-02-05,6,2007,2007-06
2007-02-12,7,2007,2007-07
2007-02-19,8,2007,2007-08
2007-02-26,9,2007,2007-09
2007-03-05,10,2007,2007-10
2007-03-12,11,2007,2007-11
2007-03-19,12,2007,2007-12
2007-03-26,13,2007,2007-13
2007-04-02,14,2007,2007-14
2007-04-09,15,2007,2007-15
2007-04-16,16,2007,2007-16
2007-04-23,17,2007,2007-17
2007-04-30,18,2007,2007-18
2007-05-07,19,2007,2007-19
2007-05-14,20,2007,2007-20
2007-05-21,21,2007,2007-21
2007-05-28,22,2007,2007-22
2007-06-04,23,2007,2007-23
2007-06-11,24,2007,2007-24
2007-06-18,25,2007,2007-25
2007-06-25,26,2007,2007-26
2007-07-02,27,2007,2007-27
2007-07-09,28,2007,2007-28
2007-07-16,29,2007,2007-29
2007-07-23,30,2007,2007-30
2007-07-30,31,2007,2007-31
2007-08-06,32,2007,2007-32
2007-08-13,33,2007,2007-33
2007-08-20,34,2007,2007-34
2007-08-27,35,2007,2007-35
2007-09-03,36,2007,2007-36
2007-09-10,37,2007,2007-37
2007-09-17,38,2007,2007-38
2007-09-24,39,2007,2007-39
2007-10-01,40,2007,2007-40
2007-10-08,41,2007,2007-41
2007-10-15,42,2007,2007-42
2007-10-22,43,2007,2007-43
2007-10-29,44,2007,2007-44
2007-11-05,45,2007,2007-45
2007-11-12,46,2007,2007-46
2007-11-19,47,2007,2007-47
2007-11-26,48,2007,2007-48
2007-12-03,49,2007,2007-49
2007-12-10,50,2007,2007-50
2007-12-17,51,2007,2007-51
2007-12-24,52,2007,2007-52
2007-12-31,1,2007,2007-01
2008-01-07,2,2008,2008-02
2008-01-14,3,2008,2008-03
2008-01-21,4,2008,2008-04
2008-01-28,5,2008,2008-05
2008-02-04,6,2008,2008-06
2008-02-11,7,2008,2008-07
2008-02-18,8,2008,2008-08
2008-02-25,9,2008,2008-09
2008-03-03,10,2008,2008-10
2008-03-10,11,2008,2008-11
2008-03-17,12,2008,2008-12
2008-03-24,13,2008,2008-13
2008-03-31,14,2008,2008-14
2008-04-07,15,2008,2008-15
2008-04-14,16,2008,2008-16
2008-04-21,17,2008,2008-17
2008-04-28,18,2008,2008-18
2008-05-05,19,2008,2008-19
2008-05-12,20,2008,2008-20
2008-05-19,21,2008,2008-21
2008-05-26,22,2008,2008-22
2008-06-02,23,2008,2008-23
2008-06-09,24,2008,2008-24
2008-06-16,25,2008,2008-25
2008-06-23,26,2008,2008-26
2008-06-30,27,2008,2008-27
2008-07-07,28,2008,2008-28
2008-07-14,29,2008,2008-29
2008-07-21,30,2008,2008-30
2008-07-28,31,2008,2008-31
2008-08-04,32,2008,2008-32
2008-08-11,33,2008,2008-33
2008-08-18,34,2008,2008-34
2008-08-25,35,2008,2008-35
2008-09-01,36,2008,2008-36
2008-09-08,37,2008,2008-37
2008-09-15,38,2008,2008-38
2008-09-22,39,2008,2008-39
2008-09-29,40,2008,2008-40
2008-10-06,41,2008,2008-41
2008-10-13,42,2008,2008-42
2008-10-20,43,2008,2008-43
2008-10-27,44,2008,2008-44
2008-11-03,45,2008,2008-45
2008-11-10,46,2008,2008-46
2008-11-17,47,2008,2008-47
2008-11-24,48,2008,2008-48
2008-12-01,49,2008,2008-49
2008-12-08,50,2008,2008-50
2008-12-15,51,2008,2008-51
2008-12-22,52,2008,2008-52
2008-12-29,1,2008,2008-01
2009-01-05,2,2009,2009-02
2009-01-12,3,2009,2009-03
2009-01-19,4,2009,2009-04
2009-01-26,5,2009,2009-05
2009-02-02,6,2009,2009-06
2009-02-09,7,2009,2009-07
2009-02-16,8,2009,2009-08
2009-02-23,9,2009,2009-09
2009-03-02,10,2009,2009-10
2009-03-09,11,2009,2009-11
2009-03-16,12,2009,2009-12
2009-03-23,13,2009,2009-13
2009-03-30,14,2009,2009-14
2009-04-06,15,2009,2009-15
2009-04-13,16,2009,2009-16
2009-04-20,17,2009,2009-17
2009-04-27,18,2009,2009-18
2009-05-04,19,2009,2009-19
2009-05-11,20,2009,2009-20
2009-05-18,21,2009,2009-21
2009-05-25,22,2009,2009-22
2009-06-01,23,2009,2009-23
2009-06-08,24,2009,2009-24
2009-06-15,25,2009,2009-25
2009-06-22,26,2009,2009-26
2009-06-29,27,2009,2009-27
2009-07-06,28,2009,2009-28
2009-07-13,29,2009,2009-29
2009-07-20,30,2009,2009-30
2009-07-27,31,2009,2009-31
2009-08-03,32,2009,2009-32
2009-08-10,33,2009,2009-33
2009-08-17,34,2009,2009-34
2009-08-24,35,2009,2009-35
2009-08-31,36,2009,2009-36
2009-09-07,37,2009,2009-37
2009-09-14,38,2009,2009-38
2009-09-21,39,2009,2009-39
2009-09-28,40,2009,2009-40
2009-10-05,41,2009,2009-41
2009-10-12,42,2009,2009-42
2009-10-19,43,2009,2009-43
2009-10-26,44,2009,2009-44
2009-11-02,45,2009,2009-45
2009-11-09,46,2009,2009-46
2009-11-16,47,2009,2009-47
2009-11-23,48,2009,2009-48
2009-11-30,49,2009,2009-49
2009-12-07,50,2009,2009-50
2009-12-14,51,2009,2009-51
2009-12-21,52,2009,2009-52
2009-12-28,53,2009,2009-53
2010-01-04,1,2010,2010-01
2010-01-11,2,2010,2010-02
2010-01-18,3,2010,2010-03
2010-01-25,4,2010,2010-04
2010-02-01,5,2010,2010-05
2010-02-08,6,2010,2010-06
2010-02-15,7,2010,2010-07
2010-02-22,8,2010,2010-08
2010-03-01,9,2010,2010-09
2010-03-08,10,2010,2010-10
2010-03-15,11,2010,2010-11
2010-03-22,12,2010,2010-12
2010-03-29,13,2010,2010-13
2010-04-05,14,2010,2010-14
2010-04-12,15,2010,2010-15
2010-04-19,16,2010,2010-16
2010-04-26,17,2010,2010-17
2010-05-03,18,2010,2010-18
2010-05-10,19,2010,2010-19
2010-05-17,20,2010,2010-20
2010-05-24,21,2010,2010-21
2010-05-31,22,2010,2010-22
2010-06-07,23,2010,2010-23
2010-06-14,24,2010,2010-24
2010-06-21,25,2010,2010-25
2010-06-28,26,2010,2010-26
2010-07-05,27,2010,2010-27
2010-07-12,28,2010,2010-28
2010-07-19,29,2010,2010-29
2010-07-26,30,2010,2010-30
2010-08-02,31,2010,2010-31
2010-08-09,32,2010,2010-32
2010-08-16,33,2010,2010-33
2010-08-23,34,2010,2010-34
2010-08-30,35,2010,2010-35
2010-09-06,36,2010,2010-36
2010-09-13,37,2010,2010-37
2010-09-20,38,2010,2010-38
2010-09-27,39,2010,2010-39
2010-10-04,40,2010,2010-40
2010-10-11,41,2010,2010-41
2010-10-18,42,2010,2010-42
2010-10-25,43,2010,2010-43
2010-11-01,44,2010,2010-44
2010-11-08,45,2010,2010-45
2010-11-15,46,2010,2010-46
2010-11-22,47,2010,2010-47
2010-11-29,48,2010,2010-48
2010-12-06,49,2010,2010-49
2010-12-13,50,2010,2010-50
2010-12-20,51,2010,2010-51
2010-12-27,52,2010,2010-52
2011-01-03,1,2011,2011-01
2011-01-10,2,2011,2011-02
2011-01-17,3,2011,2011-03
2011-01-24,4,2011,2011-04
2011-01-31,5,2011,2011-05
2011-02-07,6,2011,2011-06
2011-02-14,7,2011,2011-07
2011-02-21,8,2011,2011-08
2011-02-28,9,2011,2011-09
2011-03-07,10,2011,2011-10
2011-03-14,11,2011,2011-11
2011-03-21,12,2011,2011-12
2011-03-28,13,2011,2011-13
2011-04-04,14,2011,2011-14
2011-04-11,15,2011,2011-15
2011-04-18,16,2011,2011-16
2011-04-25,17,2011,2011-17
2011-05-02,18,2011,2011-18
2011-05-09,19,2011,2011-19
2011-05-16,20,2011,2011-20
2011-05-23,21,2011,2011-21
2011-05-30,22,2011,2011-22
2011-06-06,23,2011,2011-23
2011-06-13,24,2011,2011-24
2011-06-20,25,2011,2011-25
2011-06-27,26,2011,2011-26
2011-07-04,27,2011,2011-27
2011-07-11,28,2011,2011-28
2011-07-18,29,2011,2011-29
2011-07-25,30,2011,2011-30
2011-08-01,31,2011,2011-31
2011-08-08,32,2011,2011-32
2011-08-15,33,2011,2011-33
2011-08-22,34,2011,2011-34
2011-08-29,35,2011,2011-35
2011-09-05,36,2011,2011-36
2011-09-12,37,2011,2011-37
2011-09-19,38,2011,2011-38
2011-09-26,39,2011,2011-39
2011-10-03,40,2011,2011-40
2011-10-10,41,2011,2011-41
2011-10-17,42,2011,2011-42
2011-10-24,43,2011,2011-43
2011-10-31,44,2011,2011-44
2011-11-07,45,2011,2011-45
2011-11-14,46,2011,2011-46
2011-11-21,47,2011,2011-47
2011-11-28,48,2011,2011-48
2011-12-05,49,2011,2011-49
2011-12-12,50,2011,2011-50
2011-12-19,51,2011,2011-51
2011-12-26,52,2011,2011-52
2012-01-02,1,2012,2012-01
2012-01-09,2,2012,2012-02
2012-01-16,3,2012,2012-03
2012-01-23,4,2012,2012-04
2012-01-30,5,2012,2012-05
2012-02-06,6,2012,2012-06
2012-02-13,7,2012,2012-07
2012-02-20,8,2012,2012-08
2012-02-27,9,2012,2012-09
2012-03-05,10,2012,2012-10
2012-03-12,11,2012,2012-11
2012-03-19,12,2012,2012-12
2012-03-26,13,2012,2012-13
2012-04-02,14,2012,2012-14
2012-04-09,15,2012,2012-15
2012-04-16,16,2012,2012-16
2012-04-23,17,2012,2012-17
2012-04-30,18,2012,2012-18
2012-05-07,19,2012,2012-19
2012-05-14,20,2012,2012-20
2012-05-21,21,2012,2012-21
2012-05-28,22,2012,2012-22
2012-06-04,23,2012,2012-23
2012-06-11,24,2012,2012-24
2012-06-18,25,2012,2012-25
2012-06-25,26,2012,2012-26
2012-07-02,27,2012,2012-27
2012-07-09,28,2012,2012-28
2012-07-16,29,2012,2012-29
2012-07-23,30,2012,2012-30
2012-07-30,31,2012,2012-31
2012-08-06,32,2012,2012-32
2012-08-13,33,2012,2012-33
2012-08-20,34,2012,2012-34
2012-08-27,35,2012,2012-35
2012-09-03,36,2012,2012-36
2012-09-10,37,2012,2012-37
2012-09-17,38,2012,2012-38
2012-09-24,39,2012,2012-39
2012-10-01,40,2012,2012-40
2012-10-08,41,2012,2012-41
2012-10-15,42,2012,2012-42
2012-10-22,43,2012,2012-43
2012-10-29,44,2012,2012-44
2012-11-05,45,2012,2012-45
2012-11-12,46,2012,2012-46
2012-11-19,47,2012,2012-47
2012-11-26,48,2012,2012-48
2012-12-03,49,2012,2012-49
2012-12-10,50,2012,2012-50
2012-12-17,51,2012,2012-51
2012-12-24,52,2012,2012-52
2012-12-31,1,2012,2012-01
2013-01-07,2,2013,2013-02
2013-01-14,3,2013,2013-03
2013-01-21,4,2013,2013-04
2013-01-28,5,2013,2013-05
2013-02-04,6,2013,2013-06
2013-02-11,7,2013,2013-07
2013-02-18,8,2013,2013-08
2013-02-25,9,2013,2013-09
2013-03-04,10,2013,2013-10
2013-03-11,11,2013,2013-11
2013-03-18,12,2013,2013-12
2013-03-25,13,2013,2013-13
2013-04-01,14,2013,2013-14
2013-04-08,15,2013,2013-15
2013-04-15,16,2013,2013-16
2013-04-22,17,2013,2013-17
2013-04-29,18,2013,2013-18
2013-05-06,19,2013,2013-19
2013-05-13,20,2013,2013-20
2013-05-20,21,2013,2013-21
2013-05-27,22,2013,2013-22
2013-06-03,23,2013,2013-23
2013-06-10,24,2013,2013-24
2013-06-17,25,2013,2013-25
2013-06-24,26,2013,2013-26
2013-07-01,27,2013,2013-27
2013-07-08,28,2013,2013-28
2013-07-15,29,2013,2013-29
2013-07-22,30,2013,2013-30
2013-07-29,31,2013,2013-31
2013-08-05,32,2013,2013-32
2013-08-12,33,2013,2013-33
2013-08-19,34,2013,2013-34
2013-08-26,35,2013,2013-35
2013-09-02,36,2013,2013-36
2013-09-09,37,2013,2013-37
2013-09-16,38,2013,2013-38
2013-09-23,39,2013,2013-39
2013-09-30,40,2013,2013-40
2013-10-07,41,2013,2013-41
2013-10-14,42,2013,2013-42
2013-10-21,43,2013,2013-43
2013-10-28,44,2013,2013-44
2013-11-04,45,2013,2013-45
2013-11-11,46,2013,2013-46
2013-11-18,47,2013,2013-47
2013-11-25,48,2013,2013-48
2013-12-02,49,2013,2013-49
2013-12-09,50,2013,2013-50
2013-12-16,51,2013,2013-51
2013-12-23,52,2013,2013-52
2013-12-30,1,2013,2013-01
2014-01-06,2,2014,2014-02
2014-01-13,3,2014,2014-03
2014-01-20,4,2014,2014-04
2014-01-27,5,2014,2014-05
2014-02-03,6,2014,2014-06
2014-02-10,7,2014,2014-07
2014-02-17,8,2014,2014-08
2014-02-24,9,2014,2014-09
2014-03-03,10,2014,2014-10
2014-03-10,11,2014,2014-11
2014-03-17,12,2014,2014-12
2014-03-24,13,2014,2014-13
2014-03-31,14,2014,2014-14
2014-04-07,15,2014,2014-15
2014-04-14,16,2014,2014-16
2014-04-21,17,2014,2014-17
2014-04-28,18,2014,2014-18
2014-05-05,19,2014,2014-19
2014-05-12,20,2014,2014-20
2014-05-19,21,2014,2014-21
2014-05-26,22,2014,2014-22
2014-06-02,23,2014,2014-23
2014-06-09,24,2014,2014-24
2014-06-16,25,2014,2014-25
2014-06-23,26,2014,2014-26
2014-06-30,27,2014,2014-27
2014-07-07,28,2014,2014-28
2014-07-14,29,2014,2014-29
2014-07-21,30,2014,2014-30
2014-07-28,31,2014,2014-31
2014-08-04,32,2014,2014-32
2014-08-11,33,2014,2014-33
2014-08-18,34,2014,2014-34
2014-08-25,35,2014,2014-35
2014-09-01,36,2014,2014-36
2014-09-08,37,2014,2014-37
2014-09-15,38,2014,2014-38
2014-09-22,39,2014,2014-39
2014-09-29,40,2014,2014-40
2014-10-06,41,2014,2014-41
2014-10-13,42,2014,2014-42
2014-10-20,43,2014,2014-43
2014-10-27,44,2014,2014-44
2014-11-03,45,2014,2014-45
2014-11-10,46,2014,2014-46
2014-11-17,47,2014,2014-47
2014-11-24,48,2014,2014-48
2014-12-01,49,2014,2014-49
2014-12-08,50,2014,2014-50
2014-12-15,51,2014,2014-51
2014-12-22,52,2014,2014-52
2014-12-29,1,2014,2014-01
2015-01-05,2,2015,2015-02
2015-01-12,3,2015,2015-03
2015-01-19,4,2015,2015-04
2015-01-26,5,2015,2015-05
2015-02-02,6,2015,2015-06
2015-02-09,7,2015,2015-07
2015-02-16,8,2015,2015-08
2015-02-23,9,2015,2015-09
2015-03-02,10,2015,2015-10
2015-03-09,11,2015,2015-11
2015-03-16,12,2015,2015-12
2015-03-23,13,2015,2015-13
2015-03-30,14,2015,2015-14
2015-04-06,15,2015,2015-15
2015-04-13,16,2015,2015-16
2015-04-20,17,2015,2015-17
2015-04-27,18,2015,2015-18
2015-05-04,19,2015,2015-19
2015-05-11,20,2015,2015-20
2015-05-18,21,2015,2015-21
2015-05-25,22,2015,2015-22
2015-06-01,23,2015,2015-23
2015-06-08,24,2015,2015-24
2015-06-15,25,2015,2015-25
2015-06-22,26,2015,2015-26
2015-06-29,27,2015,2015-27
2015-07-06,28,2015,2015-28
2015-07-13,29,2015,2015-29
2015-07-20,30,2015,2015-30
2015-07-27,31,2015,2015-31
2015-08-03,32,2015,2015-32
2015-08-10,33,2015,2015-33
2015-08-17,34,2015,2015-34
2015-08-24,35,2015,2015-35
2015-08-31,36,2015,2015-36
2015-09-07,37,2015,2015-37
2015-09-14,38,2015,2015-38
2015-09-21,39,2015,2015-39
2015-09-28,40,2015,2015-40
2015-10-05,41,2015,2015-41
2015-10-12,42,2015,2015-42
2015-10-19,43,2015,2015-43
2015-10-26,44,2015,2015-44
2015-11-02,45,2015,2015-45
2015-11-09,46,2015,2015-46
2015-11-16,47,2015,2015-47
2015-11-23,48,2015,2015-48
2015-11-30,49,2015,2015-49
2015-12-07,50,2015,2015-50
2015-12-14,51,2015,2015-51
2015-12-21,52,2015,2015-52
2015-12-28,53,2015,2015-53
2016-01-04,1,2016,2016-01
2016-01-11,2,2016,2016-02
2016-01-18,3,2016,2016-03
2016-01-25,4,2016,2016-04
2016-02-01,5,2016,2016-05
2016-02-08,6,2016,2016-06
2016-02-15,7,2016,2016-07
2016-02-22,8,2016,2016-08
2016-02-29,9,2016,2016-09
2016-03-07,10,2016,2016-10
2016-03-14,11,2016,2016-11
2016-03-21,12,2016,2016-12
2016-03-28,13,2016,2016-13
2016-04-04,14,2016,2016-14
2016-04-11,15,2016,2016-15
2016-04-18,16,2016,2016-16
2016-04-25,17,2016,2016-17
2016-05-02,18,2016,2016-18
2016-05-09,19,2016,2016-19
2016-05-16,20,2016,2016-20
2016-05-23,21,2016,2016-21
2016-05-30,22,2016,2016-22
2016-06-06,23,2016,2016-23
2016-06-13,24,2016,2016-24
2016-06-20,25,2016,2016-25
2016-06-27,26,2016,2016-26
2016-07-04,27,2016,2016-27
2016-07-11,28,2016,2016-28
2016-07-18,29,2016,2016-29
2016-07-25,30,2016,2016-30
2016-08-01,31,2016,2016-31
2016-08-08,32,2016,2016-32
2016-08-15,33,2016,2016-33
2016-08-22,34,2016,2016-34
2016-08-29,35,2016,2016-35
2016-09-05,36,2016,2016-36
2016-09-12,37,2016,2016-37
2016-09-19,38,2016,2016-38
2016-09-26,39,2016,2016-39
2016-10-03,40,2016,2016-40
2016-10-10,41,2016,2016-41
2016-10-17,42,2016,2016-42
2016-10-24,43,2016,2016-43
2016-10-31,44,2016,2016-44
2016-11-07,45,2016,2016-45
2016-11-14,46,2016,2016-46
2016-11-21,47,2016,2016-47
2016-11-28,48,2016,2016-48
2016-12-05,49,2016,2016-49
2016-12-12,50,2016,2016-50
2016-12-19,51,2016,2016-51
2016-12-26,52,2016,2016-52
2017-01-02,1,2017,2017-01
2017-01-09,2,2017,2017-02
2017-01-16,3,2017,2017-03
2017-01-23,4,2017,2017-04
2017-01-30,5,2017,2017-05
2017-02-06,6,2017,2017-06
2017-02-13,7,2017,2017-07
2017-02-20,8,2017,2017-08
2017-02-27,9,2017,2017-09
2017-03-06,10,2017,2017-10
2017-03-13,11,2017,2017-11
2017-03-20,12,2017,2017-12
2017-03-27,13,2017,2017-13
2017-04-03,14,2017,2017-14
2017-04-10,15,2017,2017-15
2017-04-17,16,2017,2017-16
2017-04-24,17,2017,2017-17
2017-05-01,18,2017,2017-18
2017-05-08,19,2017,2017-19
2017-05-15,20,2017,2017-20
2017-05-22,21,2017,2017-21
2017-05-29,22,2017,2017-22
2017-06-05,23,2017,2017-23
2017-06-12,24,2017,2017-24
2017-06-19,25,2017,2017-25
2017-06-26,26,2017,2017-26
2017-07-03,27,2017,2017-27
2017-07-10,28,2017,2017-28
2017-07-17,29,2017,2017-29
2017-07-24,30,2017,2017-30
2017-07-31,31,2017,2017-31
2017-08-07,32,2017,2017-32
2017-08-14,33,2017,2017-33
2017-08-21,34,2017,2017-34
2017-08-28,35,2017,2017-35
2017-09-04,36,2017,2017-36
2017-09-11,37,2017,2017-37
2017-09-18,38,2017,2017-38
2017-09-25,39,2017,2017-39
2017-10-02,40,2017,2017-40
2017-10-09,41,2017,2017-41
2017-10-16,42,2017,2017-42
2017-10-23,43,2017,2017-43
2017-10-30,44,2017,2017-44
2017-11-06,45,2017,2017-45
2017-11-13,46,2017,2017-46
2017-11-20,47,2017,2017-47
2017-11-27,48,2017,2017-48
2017-12-04,49,2017,2017-49
2017-12-11,50,2017,2017-50
2017-12-18,51,2017,2017-51
2017-12-25,52,2017,2017-52
2018-01-01,1,2018,2018-01
2018-01-08,2,2018,2018-02
2018-01-15,3,2018,2018-03
2018-01-22,4,2018,2018-04
2018-01-29,5,2018,2018-05
2018-02-05,6,2018,2018-06
2018-02-12,7,2018,2018-07
2018-02-19,8,2018,2018-08
2018-02-26,9,2018,2018-09
2018-03-05,10,2018,2018-10
2018-03-12,11,2018,2018-11
2018-03-19,12,2018,2018-12
2018-03-26,13,2018,2018-13
2018-04-02,14,2018,2018-14
2018-04-09,15,2018,2018-15
2018-04-16,16,2018,2018-16
2018-04-23,17,2018,2018-17
2018-04-30,18,2018,2018-18
2018-05-07,19,2018,2018-19
2018-05-14,20,2018,2018-20
2018-05-21,21,2018,2018-21
2018-05-28,22,2018,2018-22
2018-06-04,23,2018,2018-23
2018-06-11,24,2018,2018-24
2018-06-18,25,2018,2018-25
2018-06-25,26,2018,2018-26
2018-07-02,27,2018,2018-27
2018-07-09,28,2018,2018-28
2018-07-16,29,2018,2018-29
2018-07-23,30,2018,2018-30
2018-07-30,31,2018,2018-31
2018-08-06,32,2018,2018-32
2018-08-13,33,2018,2018-33
2018-08-20,34,2018,2018-34
2018-08-27,35,2018,2018-35
2018-09-03,36,2018,2018-36
2018-09-10,37,2018,2018-37
2018-09-17,38,2018,2018-38
2018-09-24,39,2018,2018-39
2018-10-01,40,2018,2018-40
2018-10-08,41,2018,2018-41
2018-10-15,42,2018,2018-42
2018-10-22,43,2018,2018-43
2018-10-29,44,2018,2018-44
2018-11-05,45,2018,2018-45
2018-11-12,46,2018,2018-46
2018-11-19,47,2018,2018-47
2018-11-26,48,2018,2018-48
2018-12-03,49,2018,2018-49
2018-12-10,50,2018,2018-50
2018-12-17,51,2018,2018-51
2018-12-24,52,2018,2018-52
2018-12-31,1,2018,2018-01
2019-01-07,2,2019,2019-02
2019-01-14,3,2019,2019-03
2019-01-21,4,2019,2019-04
2019-01-28,5,2019,2019-05
2019-02-04,6,2019,2019-06
2019-02-11,7,2019,2019-07
2019-02-18,8,2019,2019-08
2019-02-25,9,2019,2019-09
2019-03-04,10,2019,2019-10
2019-03-11,11,2019,2019-11
2019-03-18,12,2019,2019-12
2019-03-25,13,2019,2019-13
2019-04-01,14,2019,2019-14
2019-04-08,15,2019,2019-15
2019-04-15,16,2019,2019-16
2019-04-22,17,2019,2019-17
2019-04-29,18,2019,2019-18
2019-05-06,19,2019,2019-19
2019-05-13,20,2019,2019-20
2019-05-20,21,2019,2019-21
2019-05-27,22,2019,2019-22
2019-06-03,23,2019,2019-23
2019-06-10,24,2019,2019-24
2019-06-17,25,2019,2019-25
2019-06-24,26,2019,2019-26
2019-07-01,27,2019,2019-27
2019-07-08,28,2019,2019-28
2019-07-15,29,2019,2019-29
2019-07-22,30,2019,2019-30
2019-07-29,31,2019,2019-31
2019-08-05,32,2019,2019-32
2019-08-12,33,2019,2019-33
2019-08-19,34,2019,2019-34
2019-08-26,35,2019,2019-35
2019-09-02,36,2019,2019-36
2019-09-09,37,2019,2019-37
2019-09-16,38,2019,2019-38
2019-09-23,39,2019,2019-39
2019-09-30,40,2019,2019-40
2019-10-07,41,2019,2019-41
2019-10-14,42,2019,2019-42
2019-10-21,43,2019,2019-43
2019-10-28,44,2019,2019-44
2019-11-04,45,2019,2019-45
2019-11-11,46,2019,2019-46
2019-11-18,47,2019,2019-47
2019-11-25,48,2019,2019-48
2019-12-02,49,2019,2019-49
2019-12-09,50,2019,2019-50
2019-12-16,51,2019,2019-51
2019-12-23,52,2019,2019-52
2019-12-30,1,2019,2019-01
2020-01-06,2,2020,2020-02
2020-01-13,3,2020,2020-03
2020-01-20,4,2020,2020-04
2020-01-27,5,2020,2020-05
2020-02-03,6,2020,2020-06
2020-02-10,7,2020,2020-07